DOPC	H8X	0.090	1.3400	HAL2
DOPC	H8Y	0.090	1.3400	HAL2
DOPC	C39	-0.150	2.09	CEL1
DOPC	H9X	0.150	1.25	HEL1
DOPC	C310	-0.150	2.09	CEL1
DOPC	0C31	-0.150	2.09	CEL1
DOPC	H10X	0.150	1.25	HEL1
DOPC	C311	-0.180	2.010	CTL2
DOPC	1C31	-0.180	2.010	CTL2
DOPC	H11X	0.090	1.3400	HAL2
DOPC	H11Y	0.090	1.3400	HAL2
DOPC	C312	-0.180	2.010	CTL2
DOPC	2C31	-0.180	2.010	CTL2
DOPC	H12X	0.090	1.3400	HAL2
DOPC	H12Y	0.090	1.3400	HAL2
DOPC	C313	-0.180	2.010	CTL2
DOPC	3C31	-0.180	2.010	CTL2
DOPC	H13X	0.090	1.3400	HAL2
DOPC	H13Y	0.090	1.3400	HAL2
DOPC	C314	-0.180	2.010	CTL2
DOPC	4C31	-0.180	2.010	CTL2
DOPC	H14X	0.090	1.3400	HAL2
DOPC	H14Y	0.090	1.3400	HAL2
DOPC	C315	-0.180	2.010	CTL2
DOPC	5C31	-0.180	2.010	CTL2
DOPC	H15X	0.090	1.3400	HAL2
DOPC	H15Y	0.090	1.3400	HAL2
DOPC	C316	-0.180	2.010	CTL2
DOPC	6C31	-0.180	2.010	CTL2
DOPC	H16X	0.090	1.3400	HAL2
DOPC	H16Y	0.090	1.3400	HAL2
DOPC	C317	-0.180	2.010	CTL2
DOPC	7C31	-0.180	2.010	CTL2
DOPC	H17X	0.090	1.3400	HAL2
DOPC	H17Y	0.090	1.3400	HAL2
DOPC	C318	-0.270	2.040	CTL3
DOPC	8C31	-0.270	2.040	CTL3
DOPC	H18X	0.090	1.3400	HAL3
DOPC	H18Y	0.090	1.3400	HAL3
DOPC	H18Z	0.090	1.3400	HAL3
